officename,pincode,officetype,deliverystatus,divisionname,regionname,circlename,taluk,districtname,statename,telephone,relatedsuboffice,relatedheadoffice,discom
Banbara B.O,283136,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Jasrana,firozabad,UTTAR PRADESH,,Jasrana S.O,Firozabad H.O,DVVNL
Banigon B.O,205261,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Karhal,mainpuri,UTTAR PRADESH,,Baranahal S.O,Mainpuri H.O,DVVNL
Bara Bazar Shikohabad S.O,283135,S.O,Non-Delivery,Mainpuri,Agra,Uttar Pradesh,Shikohabad,firozabad,UTTAR PRADESH,05676-234513,,Firozabad H.O,DVVNL
Bara Gaon B.O,283130,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Jasarana,firozabad,UTTAR PRADESH,,Parham S.O,Firozabad H.O,DVVNL
Baranahal S.O,205261,S.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Karhal,mainpuri,UTTAR PRADESH,,,Mainpuri H.O,DVVNL
Bartara B.O,283206,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Shikohabad ,firozabad,UTTAR PRADESH,,Kotla S.O (Firozabad),Firozabad H.O,DVVNL
Basai Mohammadpur B.O,283203,B.O directly a/w Head Office,Delivery,Mainpuri,Agra,Uttar Pradesh,Firozabad,firozabad,UTTAR PRADESH,,,Firozabad H.O,DVVNL
Basait B.O,205303,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,,mainpuri,UTTAR PRADESH,,Kishni S.O,Mainpuri H.O,DVVNL
Belahar B.O,205265,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Mainpuri,mainpuri,UTTAR PRADESH,,Kuraoli S.O,Mainpuri H.O,DVVNL
Beonti Khurd B.O,205001,B.O directly a/w Head Office,Non-Delivery,Mainpuri,Agra,Uttar Pradesh,Mainpuri,mainpuri,UTTAR PRADESH,,,Mainpuri H.O,DVVNL
Bewar Bazar S.O,205301,S.O,Non-Delivery,Mainpuri,Agra,Uttar Pradesh,Bhogaon,mainpuri,UTTAR PRADESH,,,Mainpuri H.O,DVVNL
Bewar S.O (Mainpuri),205301,S.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Bhongaon,mainpuri,UTTAR PRADESH,05673-272228,,Mainpuri H.O,DVVNL
Bhadan B.O,283142,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Jasarana,firozabad,UTTAR PRADESH,,Pariyar S.O,Firozabad H.O,DVVNL
Bhadana B.O,283152,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Jasrana,firozabad,UTTAR PRADESH,,Eka S.O,Firozabad H.O,DVVNL
Bhagner B.O,283152,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Jasrana,firozabad,UTTAR PRADESH,,Eka S.O,Firozabad H.O,DVVNL
Bhaisrauli B.O,205262,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Bhongaon,mainpuri,UTTAR PRADESH,,Bhongaon S.O,Mainpuri H.O,DVVNL
Bharaul B.O,283203,B.O directly a/w Head Office,Delivery,Mainpuri,Agra,Uttar Pradesh,Shikohabad,firozabad,UTTAR PRADESH,,,Firozabad H.O,DVVNL
Bhawat B.O,205247,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Mainpuri,mainpuri,UTTAR PRADESH,,Ajitganj S.O,Mainpuri H.O,DVVNL
Bhidaura B.O,205264,B.O,Non-Delivery,Mainpuri,Agra,Uttar Pradesh,Kahal,mainpuri,UTTAR PRADESH,,Karhal S.O (Mainpuri),Mainpuri H.O,DVVNL
Bhongaon S.O,205262,S.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Bhongaon,mainpuri,UTTAR PRADESH,05673-263027,,Mainpuri H.O,DVVNL
Bichhawan B.O,205267,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Bhongaon,mainpuri,UTTAR PRADESH,,Sultanganj S.O (Mainpuri),Mainpuri H.O,DVVNL
Bilhena B.O,283203,B.O directly a/w Head Office,Delivery,Mainpuri,Agra,Uttar Pradesh,Firozabad,firozabad,UTTAR PRADESH,,,Firozabad H.O,DVVNL
Chandikara B.O,205261,B.O,Non-Delivery,Mainpuri,Agra,Uttar Pradesh,Karhal,mainpuri,UTTAR PRADESH,,Baranahal S.O,Mainpuri H.O,DVVNL
Chandpura B.O,205264,B.O,Non-Delivery,Mainpuri,Agra,Uttar Pradesh,Karhal,mainpuri,UTTAR PRADESH,,Karhal S.O (Mainpuri),Mainpuri H.O,DVVNL
Chandwar B.O,283203,B.O directly a/w Head Office,Delivery,Mainpuri,Agra,Uttar Pradesh,Firozabad,firozabad,UTTAR PRADESH,,,Firozabad H.O,DVVNL
Chauraipur B.O,205303,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Bhongaon,mainpuri,UTTAR PRADESH,,Kishni S.O,Mainpuri H.O,DVVNL
Chetai B.O,205263,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Mainpuri,mainpuri,UTTAR PRADESH,,Jeonti S.O,Mainpuri H.O,DVVNL
Chhachha B.O,205262,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Bhongaon,mainpuri,UTTAR PRADESH,,Bhongaon S.O,Mainpuri H.O,DVVNL
Chitayan B.O,205303,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Bhongaon,mainpuri,UTTAR PRADESH,,Kishni S.O,Mainpuri H.O,DVVNL
Chulhawali B.O,283204,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Firozabad,firozabad,UTTAR PRADESH,,Tundla S.O,Firozabad H.O,DVVNL
Civil Court S.O (Mainpuri),205001,S.O,Non-Delivery,Mainpuri,Agra,Uttar Pradesh,Mainpuri,mainpuri,UTTAR PRADESH,,,Mainpuri H.O,DVVNL
Collectorate -firozabad S.O,283205,S.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Firozabad,firozabad,UTTAR PRADESH,,,Firozabad H.O,DVVNL
Dakhinara B.O,283135,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Shikohabad,firozabad,UTTAR PRADESH,,Shikohabad S.O,Firozabad H.O,DVVNL
Dalippur Kailai B.O,205267,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Bhongaon,mainpuri,UTTAR PRADESH,,Sultanganj S.O (Mainpuri),Mainpuri H.O,DVVNL
Dalupur B.O,205261,B.O,Non-Delivery,Mainpuri,Agra,Uttar Pradesh,Mainpuri,mainpuri,UTTAR PRADESH,,Baranahal S.O,Mainpuri H.O,DVVNL
Darwah B.O,205119,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Mainpuri,mainpuri,UTTAR PRADESH,,Tindauli S.O,Mainpuri H.O,DVVNL
Datawali B.O,283203,B.O directly a/w Head Office,Delivery,Mainpuri,Agra,Uttar Pradesh,Firozabad,firozabad,UTTAR PRADESH,,,Firozabad H.O,DVVNL
Daulatpur B.O,205001,B.O directly a/w Head Office,Non-Delivery,Mainpuri,Agra,Uttar Pradesh,Mainpuri,mainpuri,UTTAR PRADESH,,,Mainpuri H.O,DVVNL
Dev Kherha B.O,283204,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Firozabad,firozabad,UTTAR PRADESH,,Tundla S.O,Firozabad H.O,DVVNL
Dharau B.O,205001,B.O directly a/w Head Office,Non-Delivery,Mainpuri,Agra,Uttar Pradesh,Mainpuri,mainpuri,UTTAR PRADESH,,,Mainpuri H.O,DVVNL
Dharmangadpur B.O,205247,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Mainpuri,mainpuri,UTTAR PRADESH,,Ajitganj S.O,Mainpuri H.O,DVVNL
Dhatari B.O,283135,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Shikohabad,firozabad,UTTAR PRADESH,,Shikohabad S.O,Firozabad H.O,DVVNL
Dheerpura B.O,283204,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Firozabad,firozabad,UTTAR PRADESH,,Tundla S.O,Firozabad H.O,DVVNL
Dihuli B.O,205261,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Karhal,mainpuri,UTTAR PRADESH,,Baranahal S.O,Mainpuri H.O,DVVNL
Dodsa Mohammadpur B.O,283206,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Firozabad,firozabad,UTTAR PRADESH,,Kotla S.O (Firozabad),Firozabad H.O,DVVNL
Dokeli B.O,283203,B.O directly a/w Head Office,Delivery,Mainpuri,Agra,Uttar Pradesh,Firozabad,firozabad,UTTAR PRADESH,,,Firozabad H.O,DVVNL
Dolupura B.O,283203,B.O directly a/w Head Office,Delivery,Mainpuri,Agra,Uttar Pradesh,,firozabad,UTTAR PRADESH,,,Firozabad H.O,DVVNL
Eka S.O,283152,S.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Jasrana,firozabad,UTTAR PRADESH,,,Firozabad H.O,DVVNL
Elabans B.O,205304,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Bhogaon ,mainpuri,UTTAR PRADESH,,Kusmara S.O,Mainpuri H.O,DVVNL
Farenzi B.O,205303,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Bhongaon,mainpuri,UTTAR PRADESH,,Kishni S.O,Mainpuri H.O,DVVNL
Farida B.O,283152,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Jasrana,firozabad,UTTAR PRADESH,,Eka S.O,Firozabad H.O,DVVNL
Firozabad Bazar B.O,283203,B.O directly a/w Head Office,Non-Delivery,Mainpuri,Agra,Uttar Pradesh,Firozabad,firozabad,UTTAR PRADESH,,,Firozabad H.O,DVVNL
Firozabad H.O,283203,H.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Firozabad,firozabad,UTTAR PRADESH,05612-241147,,,DVVNL
Gagani B.O,283206,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Firozabad,firozabad,UTTAR PRADESH,,Kotla S.O (Firozabad),Firozabad H.O,DVVNL
Galla Mandi Kurawali S.O,205265,S.O,Non-Delivery,Mainpuri,Agra,Uttar Pradesh,Mainpuri,mainpuri,UTTAR PRADESH,,,Mainpuri H.O,DVVNL
Gangsi B.O,205119,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Mainpuri,mainpuri,UTTAR PRADESH,,Tindauli S.O,Mainpuri H.O,DVVNL
Garhia Chhinkaura B.O,205301,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Bhongaon,mainpuri,UTTAR PRADESH,,Bewar S.O (Mainpuri),Mainpuri H.O,DVVNL
Garhia Govindepur B.O,205262,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Bhongaon,mainpuri,UTTAR PRADESH,,Bhongaon S.O,Mainpuri H.O,DVVNL
Garhsan B.O,283142,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Jasarana,firozabad,UTTAR PRADESH,,Pariyar S.O,Firozabad H.O,DVVNL
Gazipur B.O,283203,B.O directly a/w Head Office,Delivery,Mainpuri,Agra,Uttar Pradesh,Firozabad,firozabad,UTTAR PRADESH,,,Firozabad H.O,DVVNL
Ghaghau B.O,283141,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Shikohabad,firozabad,UTTAR PRADESH,,Shikohabad RS S.O,Firozabad H.O,DVVNL
Ghiror S.O,205121,S.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Mainpuri,mainpuri,UTTAR PRADESH,05672-284013,,Firozabad H.O,DVVNL
Ghitauli B.O,205001,B.O directly a/w Head Office,Delivery,Mainpuri,Agra,Uttar Pradesh,Mainpuri,mainpuri,UTTAR PRADESH,,,Mainpuri H.O,DVVNL
Gola Bazar B.O,205001,B.O directly a/w Head Office,Non-Delivery,Mainpuri,Agra,Uttar Pradesh,Mainpuri,mainpuri,UTTAR PRADESH,,,Mainpuri H.O,DVVNL
Gonchh B.O,283203,B.O directly a/w Head Office,Delivery,Mainpuri,Agra,Uttar Pradesh,Firozabad,firozabad,UTTAR PRADESH,,,Firozabad H.O,DVVNL
Gondai B.O,283204,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Firozabad,firozabad,UTTAR PRADESH,,Tundla S.O,Firozabad H.O,DVVNL
Gopalpur B.O,283152,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Jasrana,firozabad,UTTAR PRADESH,,Eka S.O,Firozabad H.O,DVVNL
Grhiya B.O,205264,B.O,Non-Delivery,Mainpuri,Agra,Uttar Pradesh,Kahal,mainpuri,UTTAR PRADESH,,Karhal S.O (Mainpuri),Mainpuri H.O,DVVNL
Gudaun B.O,283203,B.O directly a/w Head Office,Delivery,Mainpuri,Agra,Uttar Pradesh,Firozbaad,firozabad,UTTAR PRADESH,,,Firozabad H.O,DVVNL
Gurha B.O,283141,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Shikohabad,firozabad,UTTAR PRADESH,,Shikohabad RS S.O,Firozabad H.O,DVVNL
Gwari Nagla Singhi B.O,283204,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Firozabad,firozabad,UTTAR PRADESH,,Tundla S.O,Firozabad H.O,DVVNL
Halpura B.O,205119,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Mainpuri,mainpuri,UTTAR PRADESH,,Tindauli S.O,Mainpuri H.O,DVVNL
Harha B.O,283141,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Shikohabad,firozabad,UTTAR PRADESH,,Shikohabad RS S.O,Firozabad H.O,DVVNL
Hathpau B.O,205247,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Mainpuri,mainpuri,UTTAR PRADESH,,Ajitganj S.O,Mainpuri H.O,DVVNL
Hazipur Nera B.O,205261,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Karhal,mainpuri,UTTAR PRADESH,,Baranahal S.O,Mainpuri H.O,DVVNL
Himaunpur B.O,205262,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Bhongaon,mainpuri,UTTAR PRADESH,,Bhongaon S.O,Mainpuri H.O,DVVNL
Himmatpur B.O,283204,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Firozabad,firozabad,UTTAR PRADESH,,Tundla S.O,Firozabad H.O,DVVNL
Hirangaon B.O,283103,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Firozabad,firozabad,UTTAR PRADESH,,Oef  Firozabad S.O,Firozabad H.O,DVVNL
Husainpur B.O,205301,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Bhongaon,mainpuri,UTTAR PRADESH,,Bewar S.O (Mainpuri),Mainpuri H.O,DVVNL
Husainpur B.O,283103,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Firozabad,firozabad,UTTAR PRADESH,,Oef  Firozabad S.O,Firozabad H.O,DVVNL
I L C Shikohabad B.O,283141,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Shikohabad ,firozabad,UTTAR PRADESH,,Shikohabad RS S.O,Firozabad H.O,DVVNL
Isai Gopalpur B.O,205263,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Mainpuri,mainpuri,UTTAR PRADESH,,Jeonti S.O,Mainpuri H.O,DVVNL
J.I.C. Nauner B.O,205001,B.O directly a/w Head Office,Non-Delivery,Mainpuri,Agra,Uttar Pradesh,Mainpuri,mainpuri,UTTAR PRADESH,,,Mainpuri H.O,DVVNL
Jabapur B.O,205119,B.O,Non-Delivery,Mainpuri,Agra,Uttar Pradesh,Mainpuri,mainpuri,UTTAR PRADESH,,Tindauli S.O,Mainpuri H.O,DVVNL
Jagatpur B B.O,205267,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,,mainpuri,UTTAR PRADESH,,Sultanganj S.O (Mainpuri),Mainpuri H.O,DVVNL
Jagir B.O,205247,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Bhogaon ,mainpuri,UTTAR PRADESH,,Ajitganj S.O,Mainpuri H.O,DVVNL
Jajumai B.O,283145,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Shikohabad,firozabad,UTTAR PRADESH,,Makkhanpur S.O,Firozabad H.O,DVVNL
Jakhai B.O,283203,B.O directly a/w Head Office,Delivery,Mainpuri,Agra,Uttar Pradesh,Firozabad,firozabad,UTTAR PRADESH,,,Firozabad H.O,DVVNL
Jakhaua B.O,205265,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Mainpuri,mainpuri,UTTAR PRADESH,,Kuraoli S.O,Mainpuri H.O,DVVNL
Jalalpur B.O,283203,B.O directly a/w Head Office,Delivery,Mainpuri,Agra,Uttar Pradesh,Firozabad,firozabad,UTTAR PRADESH,,,Firozabad H.O,DVVNL
Jamaura B.O,205262,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Bhongaon,mainpuri,UTTAR PRADESH,,Bhongaon S.O,Mainpuri H.O,DVVNL
Jarakhi B.O,283103,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Firozabad,firozabad,UTTAR PRADESH,,Oef  Firozabad S.O,Firozabad H.O,DVVNL
Jarauli Kalan B.O,283203,B.O directly a/w Head Office,Delivery,Mainpuri,Agra,Uttar Pradesh,Firozabad,firozabad,UTTAR PRADESH,,,Firozabad H.O,DVVNL
Jasrana S.O,283136,S.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Jasrana,firozabad,UTTAR PRADESH,05671-254221,,Firozabad H.O,DVVNL
Jatau B.O,283206,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Firozabad,firozabad,UTTAR PRADESH,,Kotla S.O (Firozabad),Firozabad H.O,DVVNL
Jaundhary B.O,283204,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Firozabad,firozabad,UTTAR PRADESH,,Tundla S.O,Firozabad H.O,DVVNL
Jaymai B.O,283151,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Shikohabad,firozabad,UTTAR PRADESH,,Sirsaganj S.O,Firozabad H.O,DVVNL
Jeonti S.O,205263,S.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Mainpuri,mainpuri,UTTAR PRADESH,,,Mainpuri H.O,DVVNL
Jhapara B.O,283136,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Jasrana,firozabad,UTTAR PRADESH,,Jasrana S.O,Firozabad H.O,DVVNL
Joga B.O,205301,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Bhongaon,mainpuri,UTTAR PRADESH,,Bewar S.O (Mainpuri),Mainpuri H.O,DVVNL
Johari Nagar B.O,205121,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Mainpuri,mainpuri,UTTAR PRADESH,,Ghiror S.O,Firozabad H.O,DVVNL
Kadipur B.O,283130,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Jasarana,firozabad,UTTAR PRADESH,,Parham S.O,Firozabad H.O,DVVNL
Kailai B.O,283152,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Jasrana,firozabad,UTTAR PRADESH,,Eka S.O,Firozabad H.O,DVVNL
Kakan B.O,205001,B.O directly a/w Head Office,Delivery,Mainpuri,Agra,Uttar Pradesh,Mainpuri,mainpuri,UTTAR PRADESH,,,Mainpuri H.O,DVVNL
Kalhor B.O,205121,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Mainpuri,mainpuri,UTTAR PRADESH,,Ghiror S.O,Firozabad H.O,DVVNL
Kanwara B.O,283145,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Shikohabad,firozabad,UTTAR PRADESH,,Makkhanpur S.O,Firozabad H.O,DVVNL
Kapoorpur B.O,205001,B.O directly a/w Head Office,Non-Delivery,Mainpuri,Agra,Uttar Pradesh,Mainpuri,mainpuri,UTTAR PRADESH,,,Mainpuri H.O,DVVNL
Karhal Gate Mainpuri B.O,205001,B.O directly a/w Head Office,Non-Delivery,Mainpuri,Agra,Uttar Pradesh,Mainpuri,mainpuri,UTTAR PRADESH,,,Mainpuri H.O,DVVNL
Karhal S.O (Mainpuri),205264,S.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Karahal,mainpuri,UTTAR PRADESH,05677-282407,,Mainpuri H.O,DVVNL
Karhara B.O,283151,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Shikohabad,firozabad,UTTAR PRADESH,,Sirsaganj S.O,Firozabad H.O,DVVNL
Karimganj B.O,205001,B.O directly a/w Head Office,Delivery,Mainpuri,Agra,Uttar Pradesh,Mainpuri,mainpuri,UTTAR PRADESH,,,Mainpuri H.O,DVVNL
Katana B.O,283152,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Jasrana,firozabad,UTTAR PRADESH,,Eka S.O,Firozabad H.O,DVVNL
Katki B.O,283204,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Firozabad,firozabad,UTTAR PRADESH,,Tundla S.O,Firozabad H.O,DVVNL
Kaua Tanda B.O,205301,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Bhongaon,mainpuri,UTTAR PRADESH,,Bewar S.O (Mainpuri),Mainpuri H.O,DVVNL
Kaurara Bujurga B.O,283136,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Jasrana,firozabad,UTTAR PRADESH,,Jasrana S.O,Firozabad H.O,DVVNL
Kaurari Kherha B.O,283142,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Jasarana,firozabad,UTTAR PRADESH,,Pariyar S.O,Firozabad H.O,DVVNL
Keshari B.O,283141,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Shikohabad,firozabad,UTTAR PRADESH,,Shikohabad RS S.O,Firozabad H.O,DVVNL
Keshpura B.O,283207,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Jasarana,firozabad,UTTAR PRADESH,,Phariha S.O,Firozabad H.O,DVVNL
Ketana Harsha B.O,283145,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Shikohabad,firozabad,UTTAR PRADESH,,Makkhanpur S.O,Firozabad H.O,DVVNL
Khair Garh B.O,283203,B.O directly a/w Head Office,Delivery,Mainpuri,Agra,Uttar Pradesh,Shikohabad,firozabad,UTTAR PRADESH,,,Firozabad H.O,DVVNL
Khairgarh B.O,283145,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Shikohabad,firozabad,UTTAR PRADESH,,Makkhanpur S.O,Firozabad H.O,DVVNL
Kharaua B.O,283142,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Jasarana,firozabad,UTTAR PRADESH,,Pariyar S.O,Firozabad H.O,DVVNL
Kharit B.O,283130,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Jasarana,firozabad,UTTAR PRADESH,,Parham S.O,Firozabad H.O,DVVNL
Kharpari B.O,205001,B.O directly a/w Head Office,Non-Delivery,Mainpuri,Agra,Uttar Pradesh,Mainpuri,mainpuri,UTTAR PRADESH,,,Mainpuri H.O,DVVNL
Kheria Patikara B.O,283130,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Jasarana,firozabad,UTTAR PRADESH,,Parham S.O,Firozabad H.O,DVVNL
Kinhawar B.O,205267,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Bhongaon,mainpuri,UTTAR PRADESH,,Sultanganj S.O (Mainpuri),Mainpuri H.O,DVVNL
Kirthua B.O,205264,B.O,Non-Delivery,Mainpuri,Agra,Uttar Pradesh,Kahal,mainpuri,UTTAR PRADESH,,Karhal S.O (Mainpuri),Mainpuri H.O,DVVNL
Kishni S.O,205303,S.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Bhogaon,mainpuri,UTTAR PRADESH,05673-274214,,Mainpuri H.O,DVVNL
Konder B.O,283207,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Jasrana ,firozabad,UTTAR PRADESH,,Phariha S.O,Firozabad H.O,DVVNL
Kosma B.O,205119,B.O,Non-Delivery,Mainpuri,Agra,Uttar Pradesh,Mainpuri,mainpuri,UTTAR PRADESH,,Tindauli S.O,Mainpuri H.O,DVVNL
Kotaki B.O,283103,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Firozabad,firozabad,UTTAR PRADESH,,Oef  Firozabad S.O,Firozabad H.O,DVVNL
Kotla S.O (Firozabad),283206,S.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Firozabad,firozabad,UTTAR PRADESH,,,Firozabad H.O,DVVNL
Kuchela B.O,205119,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Mainpuri,mainpuri,UTTAR PRADESH,,Tindauli S.O,Mainpuri H.O,DVVNL
Kumhaul B.O,205304,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Bhogaon ,mainpuri,UTTAR PRADESH,,Kusmara S.O,Mainpuri H.O,DVVNL
Kuraoli S.O,205265,S.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Mainpuri,mainpuri,UTTAR PRADESH,05672-244021,,Mainpuri H.O,DVVNL
Kurhi B.O,205304,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Bhogaon ,mainpuri,UTTAR PRADESH,,Kusmara S.O,Mainpuri H.O,DVVNL
Kurra S.O,205268,S.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Karahal,mainpuri,UTTAR PRADESH,,,Mainpuri H.O,DVVNL
Kurri Kuppa B.O,283103,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Firozabad,firozabad,UTTAR PRADESH,,Oef  Firozabad S.O,Firozabad H.O,DVVNL
Kushiyari B.O,283136,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Jasrana,firozabad,UTTAR PRADESH,,Jasrana S.O,Firozabad H.O,DVVNL
Kusmara S.O,205304,S.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Bhgaon,mainpuri,UTTAR PRADESH,05673-242204,,Mainpuri H.O,DVVNL
Kutukpur B.O,205303,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Bhongaon,mainpuri,UTTAR PRADESH,,Kishni S.O,Mainpuri H.O,DVVNL
Labour Collony  Firozabad S.O,283203,S.O,Non-Delivery,Mainpuri,Agra,Uttar Pradesh,Firozabad,firozabad,UTTAR PRADESH,05612-231187,,Firozabad H.O,DVVNL
Lahara B.O,205265,B.O,Non-Delivery,Mainpuri,Agra,Uttar Pradesh,Mainpuri,mainpuri,UTTAR PRADESH,,Kuraoli S.O,Mainpuri H.O,DVVNL
Lakhanmau B.O,205261,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Karhal,mainpuri,UTTAR PRADESH,,Baranahal S.O,Mainpuri H.O,DVVNL
Lakhaura B.O,205265,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Mainpuri,mainpuri,UTTAR PRADESH,,Kuraoli S.O,Mainpuri H.O,DVVNL
Lalupur B.O,205001,B.O directly a/w Head Office,Non-Delivery,Mainpuri,Agra,Uttar Pradesh,Mainpuri,mainpuri,UTTAR PRADESH,,,Mainpuri H.O,DVVNL
Madanpur B.O,283151,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Shikohabad,firozabad,UTTAR PRADESH,,Sirsaganj S.O,Firozabad H.O,DVVNL
Madhan B.O,205263,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Mainpuri,mainpuri,UTTAR PRADESH,,Jeonti S.O,Mainpuri H.O,DVVNL
Madhoganj B.O,283141,B.O,Non-Delivery,Mainpuri,Agra,Uttar Pradesh,Shikohabad,firozabad,UTTAR PRADESH,,Shikohabad RS S.O,Firozabad H.O,DVVNL
Madhoganj B.O,283141,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Shikohabad,firozabad,UTTAR PRADESH,,Shikohabad RS S.O,Firozabad H.O,DVVNL
Madhukarpur B.O,205304,B.O,Delivery,Mainpuri,Agra,Uttar Pradesh,Bhongaon,mainpuri,UTTAR PRADESH,,Kusmara S.O,Mainpuri H.O,DVVNL
